Name,Count
Pukki,28
Salah,27
Sterling,25
Button,25
Digne,24
Lundstram,23
De Bruyne,21
van Dijk,20
Kelly,20
Wan-Bissaka,19
Robertson,15
Agüero,15
King,14
Pope,13
Ederson,13
Cantwell,13
Greenwood,12
Martial,12
Dunk,12
Zinchenko,11
Dendoncker,10
Walker,10
Barnes,10
Kane,9
Ryan,8
Mané,8
Mount,8
Aubameyang,8
Ceballos,8
McGinn,7
Rashford,7
Alexander-Arnold,7
Bernardo Silva,7
Sigurdsson,6
Firmino,6
Fraser,6
Lascelles,6
Adrián,5
Patrício,5
Hayden,5
de Gea,5
Jota,5
Pérez,5
Aké,5
Neves,5
Wesley,4
Pulisic,4
Maddison,4
Mings,4
van Aanholt,4
Abraham,4
Keane,4
Simpson,4
Mina,4
Bernard,4
Zaha,4
Söyüncü,3
Pogba,3
Stekelenburg,3
Richarlison,3
Callum Wilson,3
Duffy,3
Alderweireld,3
Ayew,3
Pieters,3
Kepa,3
Heaton,2
Vardy,2
Montoya,2
Rico,2
Boly,2
McGovern,2
Guendouzi,2
Pickford,2
Laporte,2
Milivojevic,2
Jiménez,2
Pereyra,2
Moutinho,2
Kovacic,2
Lucas Moura,2
Ndombele,2
Begovic,2
Grealish,2
James,2
Walker-Peters,2
Leno,2
Mee,2
Jorginho,2
Chicharito,2
Coleman,2
Schmeichel,2
Pedro,2
Lanzini,1
Trossard,1
Deeney,1
Hanley,1
Hart,1
Son,1
Stephens,1
Chilwell,1
Groß,1
Sharp,1
Stones,1
Ndidi,1
David Luiz,1
David Silva,1
Wijnaldum,1
Douglas Luiz,1
Deulofeu,1
Harry Wilson,1
Ings,1
Schneiderlin,1
Bennett,1
Milner,1
Maguire,1
Felipe Anderson,1
Foster,1
Long,1
Evans,1
Vallejo,1
Gudmundsson,1
Daniels,1
Reid,1
March,1
Targett,1
Alisson,1
Mkhitaryan,1
Pereira,1
Torreira,1
Maitland-Niles,1
Diop,1
Højbjerg,1
Stearman,1
Lacazette,1
McTominay,1
Shelvey,1
Murray,1
Lamela,1
Prödl,1
Parrott,1
Kolasinac,1
Otamendi,1
Success,1
Gibson,1
Morgan,1
Zouma,1
Eriksen,1
Iwobi,1
Fabianski,1
Holebas,1
Tosun,1
